T1 T2 wmn
0.769460707902908 0.792922535112926 0.792383023670742
0.585313196693148 0.659467130899429 0.624179005622864
0.747383615800313 0.737291412694114 0.75908511025565
0.610287845134735 0.616236693092755 0.648622878960201
0.592762866190502 0.60967258470399 0.628882054771696
0.566583288567407 0.59139610188348 0.567445961492402
0.899866491556168 0.897144377231598 0.910709649324417
0.646625033446721 0.737051623208182 0.663367454494749
0.531194344162941 0.548760205507278 0.544914383973394
0.800256678036281 0.805639841726848 0.821987158485821
0.843572684696743 0.846627205610275 0.86331131202834
0.69030061383526 0.712928155606443 0.711353453916389
